TF	Target	OddsRatio
AT1G12860	AT1G19700	0.517590209095425
AT1G12860	AT5G07010	0
AT1G12860	AT5G03630	0.9817977915804
AT1G06850	AT1G19180	0.299503657262278
AT1G06850	AT4G19230	0.336258336258336
AT2G43060	AT2G31730	0
AT2G43060	AT1G20490	0
AT2G43060	AT1G21750	0.266188822384788
AT2G43060	AT5G08580	0
AT2G43060	AT3G57630	0
AT2G43060	AT2G38660	0
AT2G43060	AT3G49550	0
AT2G22770	AT2G41130	0
AT2G22770	AT3G27690	0
AT2G22770	AT4G39800	0
AT2G22770	AT5G50920	0.985347985347985
AT2G22770	AT5G58770	0
AT2G22770	AT4G04210	0
AT2G22770	AT5G50335	0
AT2G22770	AT3G47470	0.793266951161688
AT2G22770	AT2G20480	0
AT2G22770	AT1G23310	0.940195095268484
AT2G22770	AT1G55140	0
AT2G22770	AT1G71500	0
AT2G22770	AT5G08510	0
AT2G22770	AT3G25780	0
AT2G22770	AT5G15970	0.825279113356695
AT2G22770	AT1G04250	0
AT2G22770	AT1G69330	0
AT2G22770	AT5G43260	0
AT2G22770	AT5G66580	0
AT2G22770	AT4G28750	0
AT2G22770	AT4G05180	0.938814531548757
AT2G22770	AT2G20515	0
AT2G22770	AT1G72030	0
AT2G22770	AT2G39730	0.417440928170542
AT2G22770	AT5G01530	0.605112384310269
AT4G00050	AT4G16430	0.55522030651341
AT4G00050	AT3G27690	0.851994621246078
AT4G00050	AT3G17580	0
AT4G00050	AT3G49570	0
AT4G00050	AT4G36010	0.916745283018868
AT4G00050	AT4G37800	0.947899159663866
AT4G00050	AT3G23050	0.588672052282836
AT4G00050	AT1G74950	0.920466764905014
AT4G00050	AT5G17460	0
AT4G00050	AT3G61060	0
AT4G00050	AT1G30260	0
AT4G00050	AT1G75030	0
AT4G00050	AT1G19150	0
AT4G00050	AT3G06868	0
AT4G00050	AT2G24150	0.467677993527508
AT4G00050	AT2G20515	0
AT4G00050	AT3G61630	0
AT4G00050	AT5G23820	0
AT4G00050	AT1G71880	0.250395778364116
AT4G16430	AT4G00050	0.55522030651341
AT4G16430	AT2G39270	0.516083043749443
AT4G16430	AT3G61060	0.452185471889905
AT4G16430	AT4G14605	0
AT4G16430	AT2G24150	0.984011627906977
AT4G16430	AT3G01970	0.786206896551724
AT4G16430	AT1G71880	0.705300485255692
AT1G01260	AT5G14550	0.740374227561471
AT1G01260	AT1G30290	0.659040761816281
AT1G01260	AT3G21215	0.801405004341306
AT3G58120	AT5G44080	0.835524806689112
AT1G77920	AT4G17880	0.490806945863126
AT1G77920	AT5G57150	0.533675166297118
AT1G77920	AT5G21930	0.604885057471264
AT1G77920	AT4G15090	0
AT1G77920	AT5G55740	0
AT1G77920	AT2G46550	0.861833105335157
AT1G51140	AT5G39860	0.884297520661157
AT1G51140	AT1G73830	0
AT1G51140	AT3G48990	0.910897435897436
AT1G51140	AT5G14640	0.775837563451777
AT1G51140	AT3G62530	0.966074361654472
AT1G51140	AT5G13730	0
AT1G51140	AT1G62780	0.775837563451777
AT1G51140	AT4G37800	0.857270827112571
AT1G51140	AT3G23050	0.985140341221794
AT1G51140	AT2G39270	0.912247474747475
AT1G51140	AT5G58650	0.711239122441476
AT1G51140	AT5G08050	0.941408821593153
AT1G51140	AT3G62970	0.83402727925341
AT1G51140	AT2G26740	0
AT1G51140	AT3G04940	0.751535565682584
AT1G51140	AT4G14040	0.822209639748036
AT1G27660	AT5G44080	0.314358326273834
AT1G27660	AT1G67792	0.322272625448029
AT1G27660	AT3G04470	0.951582491582492
AT1G27660	AT2G22300	0.995216160719241
AT1G27660	AT1G02120	0.973057040866204
AT1G27660	AT5G55840	0.558786651234568
AT1G27660	AT3G21220	0.65325894208728
AT1G27660	AT1G04120	0.730221004735816
AT1G27660	AT1G59620	0.494065915300546
AT1G27660	AT1G60260	0.872385536645464
AT1G27660	AT5G15570	0.862082066869301
AT1G27660	AT5G01170	0.828300939539554
AT2G46510	AT3G20640	0
AT2G46510	AT5G63620	0.83095324392896
AT2G46510	AT4G30620	0.909784489539091
AT2G46510	AT5G27920	0.538983681249709
AT3G20640	AT1G49720	0
AT3G20640	AT2G46510	0
AT3G20640	AT1G72210	0
AT3G20640	AT2G36080	0.600955546323224
AT3G20640	AT3G62700	0.829582712369598
AT3G20640	AT2G48020	0
AT3G20640	AT1G67590	0.773123437605567
AT3G20640	AT1G22360	0
AT3G20640	AT5G57345	0.611709997886282
AT3G20640	AT1G17220	0.759172687349483
AT3G20640	AT4G19230	0.537051681629995
AT3G20640	AT3G26180	0.795844625112918
AT5G65210	AT4G15140	0
AT1G59640	AT5G56980	0.876380873048928
AT1G59640	AT4G24960	0.92757762594173
AT1G59640	AT4G14900	0.727367376886564
AT1G59640	AT5G24610	0.966923076923077
AT1G18400	AT4G17880	0.759773966752086
AT1G18400	AT3G09600	0
AT1G18400	AT3G02380	0
AT1G18400	AT1G68440	0.356409040619567
AT1G18400	AT3G54440	0.915862290862291
AT1G18400	AT1G78130	0
AT1G18400	AT2G46830	0.563811489508084
AT1G18400	AT4G29540	0
AT1G18400	AT3G21670	0
AT1G18400	AT5G37260	0
AT1G18400	AT2G35820	0
AT1G18400	AT3G50920	0
AT1G18400	AT5G07860	0
AT1G18400	AT1G64150	0
AT1G18400	AT1G79260	0
AT1G18400	AT2G48000	0
AT1G18400	AT5G67460	0
AT4G36060	AT5G64860	0
AT4G36060	AT1G22270	0
AT4G36060	AT3G48350	0
AT4G36060	AT3G18210	0
AT4G36060	AT1G77510	0
AT4G36060	AT1G69460	0
AT4G36060	AT5G63980	0
AT4G36060	AT2G45740	0
AT4G36060	AT1G48830	0
AT4G36060	AT1G54850	0
AT4G36060	AT1G49870	0
AT4G36060	AT1G77450	0
AT4G36060	AT3G50850	0
AT4G36060	AT1G18070	0.646447885939036
AT4G36060	AT3G10210	0
AT1G32150	AT5G08130	0.930091185410334
AT1G32150	AT2G35630	0.990824986132276
AT1G32150	AT5G45472	0.90927329306242
AT1G32150	AT2G22530	0
AT1G32150	AT1G02120	0.337558986671082
AT1G32150	AT4G33530	0.925860737995986
AT1G32150	AT2G39930	0.847122838401908
AT1G09530	AT3G12250	0
AT1G09530	AT5G15910	0.877034358047016
AT1G09530	AT5G16150	0.915395966551894
AT1G09530	AT4G30620	0
AT4G00480	AT3G59060	0.91121533112315
AT4G00480	AT5G17300	0.447891251307076
AT4G00480	AT2G30150	0.813596336738288
AT4G00480	AT5G02820	0.772727272727273
AT5G53210	AT5G46690	0
AT5G53210	AT3G27690	0.883359130055165
AT5G53210	AT1G30410	0
AT5G53210	AT1G23310	0.857656803413559
AT5G53210	AT2G22170	0
AT5G53210	AT1G71500	0.814249547920434
AT5G53210	AT4G37800	0
AT5G53210	AT3G23050	0.943980514961726
AT5G53210	AT2G35260	0.846303939962477
AT5G53210	AT5G17460	0
AT5G53210	AT5G08050	0.598075231541367
AT5G53210	AT1G15820	0.592304610222122
AT5G53210	AT3G50920	0
AT5G53210	AT4G17500	0
AT5G53210	AT5G38420	0.796438185959826
AT5G53210	AT5G01530	0.926390735815603
AT4G02590	AT5G01520	0.695125699182494
AT2G42280	AT4G26455	0.736634920634921
AT2G42280	AT4G02425	0
AT5G51790	AT2G46930	0
AT3G23690	AT3G15210	0.65775462962963
AT2G16770	AT5G09620	0.457384880966719
AT2G16770	AT2G26140	0.69664514763467
AT2G16770	AT2G46225	0.970760233918129
AT4G35040	AT4G34540	0
AT4G35040	AT5G10330	0.618117797695263
AT4G35040	AT3G22310	0.991688311688312
AT2G35530	AT5G06950	0.546031746031746
AT3G12250	AT5G24800	0
AT3G12250	AT3G06590	0.669854227405248
AT3G12250	AT1G09530	0
AT3G12250	AT5G42810	0
AT3G12250	AT4G16370	0
AT3G12250	AT5G25240	0
AT3G12250	AT4G19230	0.912378851154361
AT3G12250	AT1G73500	0
AT3G05800	AT2G31730	0
AT3G05800	AT4G09500	0
AT3G05800	AT1G23480	0
AT3G05800	AT1G19970	0
AT3G05800	AT5G19875	0
AT3G05800	AT5G41810	0
AT3G05800	AT5G16010	0
AT3G05800	AT3G24503	0
AT3G05800	AT5G66800	0
